iter	RMSE
0	0.7481888298
1	0.7261196013
2	0.7052397762
3	0.6856348747
4	0.6667303748
5	0.6488270348
6	0.6315621686
7	0.614907321
8	0.599606173
9	0.5854114518
10	0.5710260473
11	0.5572309606
12	0.5441837398
13	0.5319216129
14	0.5203301573
15	0.509091361
16	0.4987345921
17	0.4890273875
18	0.4798106039
19	0.470793632
20	0.462237843
21	0.4542297416
22	0.4466471317
23	0.4395128948
24	0.4324979294
25	0.4262822729
26	0.4202226038
27	0.4147219196
28	0.4093323553
29	0.404223459
30	0.3994073698
31	0.3947479941
32	0.3904876414
33	0.386324026
34	0.3824455609
35	0.3787569294
36	0.375332693
37	0.3722283585
38	0.3692380009
39	0.3665388265
40	0.3638682973
41	0.3614347635
42	0.3592146586
43	0.357125314
44	0.3551660415
45	0.3531584508
46	0.3513549494
47	0.3497404754
48	0.3481289759
49	0.3467902204
50	0.3453072911
51	0.3438381399
52	0.342542019
53	0.3413590163
54	0.3402401882
55	0.3390358138
56	0.3379950786
57	0.3370444055
58	0.3360373185
59	0.3351532279
60	0.3343057337
61	0.3334776571
62	0.3327019255
63	0.332016453
64	0.3312972084
65	0.3305895831
66	0.3299897949
67	0.329364567
68	0.3287880299
69	0.3282217437
70	0.3277364809
71	0.3272579968
72	0.3268740684
73	0.3264053408
74	0.326010064
75	0.3255659428
76	0.325206425
77	0.3248592897
78	0.3245579528
79	0.3242652869
80	0.3239813968
81	0.323628352
82	0.3233331479
83	0.3230012012
84	0.322645812
85	0.3224130152
86	0.3221423002
87	0.3219190674
88	0.3216682492
89	0.3214238284
90	0.3212394115
91	0.3210433708
92	0.320757522
93	0.3205003439
94	0.3203180959
95	0.320099529
96	0.3198589871
97	0.3196743638
98	0.3194613981
99	0.3193217086
100	0.3191167815
101	0.3189711302
102	0.3187739375
103	0.3185499242
104	0.3183757875
105	0.3182167459
106	0.3180362714
107	0.3178417684
108	0.3176646872
109	0.3175606161
110	0.3174429398
111	0.3173158133
112	0.3170761295
113	0.3169954375
114	0.3168367897
115	0.31675636
116	0.3166655895
117	0.3164805449
118	0.3163290559
119	0.316118949
120	0.3158171173
121	0.315702375
122	0.3155882202
123	0.31549895
124	0.3153749014
125	0.3152085896
126	0.3151035561
127	0.3149843448
128	0.3148333191
129	0.3147153001
130	0.3146587428
131	0.3145556843
132	0.3143305398
133	0.3141391158
134	0.3140709261
135	0.31390818
136	0.3138609144
137	0.3137133246
138	0.3135038718
139	0.3132746177
140	0.3131856283
141	0.3129187559
142	0.3127413297
143	0.3126694657
144	0.3125679357
145	0.3124955388
146	0.3124474427
147	0.3123225262
148	0.3122336353
149	0.3121061613
150	0.3119795756
151	0.3118844818
152	0.3117650964
153	0.311661295
154	0.3115646305
155	0.3114801225
156	0.3114350109
157	0.3112521124
158	0.311153553
159	0.3110538778
160	0.3107926476
161	0.3106884178
162	0.3106353467
163	0.3105465861
164	0.3104931447
165	0.3104132449
166	0.3102140901
167	0.3101252756
168	0.3100538445
169	0.309997138
170	0.3099679981
171	0.3098987926
172	0.3098114745
173	0.3096406042
174	0.3095290534
175	0.3093584087
176	0.3092877864
177	0.3091697116
178	0.309047893
179	0.3089854462
180	0.3089213046
181	0.3088508977
182	0.3087812112
183	0.3087289616
184	0.3086120742
185	0.3085140758
186	0.3084324847
187	0.3081840978
188	0.3079799903
189	0.3079064387
190	0.3076086207
191	0.3073529071
192	0.3072541454
193	0.3072238936
194	0.3070723609
195	0.3070151987
196	0.3069451798
197	0.3068265683
198	0.3067610234
199	0.3066833918
200	0.3065785209
201	0.3065104113
202	0.3064344832
203	0.3062476811
204	0.3062034616
205	0.3061584557
206	0.3061050045
207	0.3060506631
208	0.3059323022
209	0.3058445481
210	0.3057473597
211	0.3056610215
212	0.3054832119
213	0.305423201
214	0.3053463321
215	0.3052991617
216	0.3052035524
217	0.3051029508
218	0.3050065206
219	0.3049310569
220	0.3047252327
221	0.3046588578
222	0.3046172219
223	0.3045443535
224	0.3044953764
225	0.3043899118
226	0.3043583148
227	0.304277051
228	0.3042164364
229	0.3041752359
230	0.3040124651
231	0.3037547918
232	0.3035680747
233	0.3034390155
234	0.303338326
235	0.3033106441
236	0.3032353531
237	0.303186028
238	0.3030667295
239	0.3029199853
240	0.3028173013
241	0.3027858275
242	0.3026442008
243	0.3026115019
244	0.302547336
245	0.3023873413
246	0.3022646653
247	0.3022027168
248	0.3021326467
249	0.3019066116
250	0.3018389626
251	0.3017968618
252	0.3017388736
253	0.3016704826
254	0.301364671
255	0.301209023
256	0.3011768256
257	0.3011067715
258	0.3009832531
259	0.3008978723
260	0.3006597488
261	0.3005350774
262	0.3004758286
263	0.3004175433
264	0.3002335909
265	0.3001419112
266	0.3000745953
267	0.2998727284
268	0.2998248171
269	0.2997830522
270	0.2997204774
271	0.2996456032
272	0.2994859238
273	0.2993349823
274	0.2992478859
275	0.2991245776
276	0.298952952
