iter	Passed	Remaining
0	12	6765
1	25	6999
2	38	6934
3	50	6959
4	63	6915
5	75	6878
6	89	6956
7	102	6951
8	114	6878
9	126	6840
10	140	6875
11	152	6859
12	166	6863
13	179	6857
14	191	6837
15	203	6800
16	216	6786
17	229	6790
18	241	6757
19	254	6738
20	265	6690
21	276	6633
22	288	6605
23	300	6590
24	313	6587
25	325	6568
26	337	6536
27	349	6509
28	360	6482
29	372	6460
30	384	6438
31	397	6427
32	409	6412
33	421	6390
34	432	6366
35	444	6341
36	455	6311
37	466	6290
38	479	6277
39	491	6263
40	503	6245
41	515	6238
42	528	6228
43	540	6216
44	552	6204
45	566	6205
46	578	6190
47	591	6185
48	604	6178
49	626	6265
50	639	6257
51	651	6242
52	663	6225
53	676	6210
54	689	6204
55	702	6194
56	714	6182
57	728	6177
58	740	6164
59	753	6154
60	765	6134
61	777	6121
62	790	6113
63	803	6102
64	816	6090
65	828	6073
66	841	6064
67	854	6055
68	867	6048
69	880	6039
70	892	6020
71	904	6004
72	916	5991
73	929	5978
74	940	5958
75	953	5946
76	965	5933
77	978	5920
78	991	5911
79	1004	5900
80	1017	5889
81	1030	5879
82	1042	5864
83	1054	5851
84	1066	5833
85	1079	5823
86	1092	5813
87	1105	5801
88	1117	5789
89	1131	5781
90	1144	5772
91	1157	5761
92	1169	5746
93	1184	5744
94	1196	5732
95	1210	5726
96	1224	5716
97	1236	5704
98	1249	5692
99	1261	5678
100	1274	5664
101	1286	5650
102	1299	5638
103	1311	5622
104	1323	5607
105	1334	5591
106	1347	5579
107	1359	5563
108	1371	5548
109	1382	5531
110	1393	5512
111	1406	5499
112	1417	5481
113	1429	5466
114	1440	5449
115	1452	5432
116	1463	5417
117	1473	5395
118	1483	5373
119	1496	5363
120	1508	5349
121	1521	5337
122	1534	5326
123	1546	5314
124	1559	5302
125	1571	5289
126	1583	5274
127	1597	5266
128	1610	5254
129	1627	5258
130	1640	5245
131	1652	5232
132	1665	5222
133	1678	5210
134	1691	5198
135	1704	5188
136	1716	5175
137	1728	5160
138	1741	5149
139	1754	5136
140	1767	5126
141	1781	5119
142	1795	5109
143	1807	5095
144	1819	5081
145	1832	5071
146	1845	5059
147	1859	5049
148	1873	5041
149	1886	5031
150	1900	5022
151	1913	5011
152	1927	5001
153	1940	4989
154	1954	4981
155	1968	4971
156	1981	4959
157	1994	4948
158	2007	4937
159	2020	4925
160	2032	4911
161	2044	4897
162	2057	4886
163	2071	4876
164	2084	4863
165	2097	4851
166	2109	4837
167	2122	4826
168	2135	4814
169	2149	4803
170	2161	4791
171	2173	4777
172	2187	4766
173	2200	4754
174	2212	4741
175	2226	4730
176	2237	4715
177	2249	4701
178	2263	4691
179	2277	4681
180	2289	4667
181	2301	4653
182	2312	4638
183	2324	4624
184	2335	4607
185	2346	4592
186	2359	4579
187	2373	4570
188	2392	4569
189	2410	4566
190	2426	4560
191	2441	4552
192	2455	4542
193	2463	4520
194	2474	4505
195	2488	4494
196	2501	4482
197	2514	4470
198	2528	4459
199	2540	4446
200	2553	4433
201	2565	4420
202	2578	4407
203	2591	4395
204	2603	4381
205	2616	4369
206	2628	4356
207	2641	4342
208	2654	4330
209	2666	4317
210	2679	4305
211	2695	4298
212	2711	4289
213	2726	4281
214	2741	4271
215	2756	4261
216	2770	4251
217	2785	4242
218	2800	4233
219	2816	4224
220	2831	4215
221	2846	4205
222	2861	4195
223	2875	4184
224	2889	4174
225	2904	4163
226	2918	4152
227	2932	4141
228	2946	4130
229	2962	4121
230	2977	4111
231	2991	4100
232	3005	4089
233	3022	4081
234	3036	4070
235	3049	4057
236	3063	4046
237	3078	4035
238	3093	4025
239	3107	4014
240	3122	4003
241	3136	3991
242	3151	3980
243	3165	3970
244	3180	3959
245	3196	3950
246	3211	3939
247	3225	3927
248	3240	3917
249	3259	3911
250	3277	3903
251	3292	3893
252	3307	3883
253	3322	3872
254	3338	3862
255	3352	3850
256	3370	3842
257	3387	3833
258	3403	3824
259	3421	3816
260	3440	3809
261	3461	3804
262	3497	3816
263	3518	3812
264	3540	3807
265	3560	3801
266	3579	3794
267	3599	3787
268	3616	3778
269	3632	3767
270	3649	3757
271	3673	3754
272	3689	3743
273	3704	3731
274	3720	3720
275	3736	3709
276	3752	3698
